SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
TJN033,TJN033MG1,Mengkubang,MGR002,Kelapa Kampit,MGR004,Buding,MGR002<>MGR004_IPASO400_Telkom_50_7603
TJN033,TJN033MG1,Mengkubang,MGR004,Buding,TJN016,Pelepat Putih,MGR004<>TJN016_IPASO400_TELKOMSEL_150_7135
TJN033,TJN033MG1,Mengkubang,TJN016,Pelepat Putih,TJN011,Sijuk,TJN016<>TJN011_IPASO400_TELKOMSEL_150_7732.875
TJN033,TJN033MG1,Mengkubang,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN033,TJN033MG1,Mengkubang,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN034,TJN034MG1,Desa Parit,TJN034,Desa Parit,TJN002,Tanjung Pandan II,TJN034<>TJN002_MetroE_Telkom_150_GPON(829)
TJN035,TJN035MG1,Dokter Susilo,TJN035,Dokter Susilo,TJN002,Tanjung Pandan II,TJN035<>TJN002_MetroE_Telkom_150_GPON(829)
TJN036,TJN036MG1,Terong,TJN036,Terong,TJN012,Tanjung Pandan 3,TJN036<>TJN012_IPASO400_Telkom_100_100
TJN036,TJN036MG1,Terong,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN037,TJN037MG1,Simpang Membalong,TJN037,Simpang Membalong,TJN002,Tanjung Pandan II,TJN037<>TJN002_MetroE_Telkom_50_GPON(821)
TJN038,TJN038MG1,Air Seruk,TJN038,Air Seruk,TJN002,Tanjung Pandan II,TJN038<>TJN002_Ipaso200_TELKOMSEL_50_14529
TJN039,TJN039MD1,Pangkal Alang,TJN039,Pangkal Alang,TJN002,Tanjung Pandan II,TJN039<>TJN002_MetroE_Telkom_150_GPON(821)
TJN040,TJN040MG1,Marakas,TJN040,Marakas,TJN002,Tanjung Pandan II,TJN040<>TJN002_MetroE_Telkom_100_GPON(821)
TJN041,TJN041MG1,Limau Manis,TJN041,Limau Manis,MGR004,Buding,TJN041<>MGR004_Ipaso400_TELKOMSEL_50_7191
TJN041,TJN041MG1,Limau Manis,MGR004,Buding,TJN016,Pelepat Putih,MGR004<>TJN016_Ipaso400_TELKOMSEL_150_7135
TJN041,TJN041MG1,Limau Manis,TJN016,Pelepat Putih,TJN011,Sijuk,TJN016<>TJN011_IPASO400_TELKOMSEL_150_7732.875
TJN041,TJN041MG1,Limau Manis,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN041,TJN041MG1,Limau Manis,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN042,TJN042MG1,Air Kundul,TJN042,Air Kundul,TJN010,Membalong,TJN042<>TJN010_Ipaso200_TELKOMSEL_150_7135
TJN042,TJN042MG1,Air Kundul,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
TJN042,TJN042MG1,Air Kundul,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN042,TJN042MG1,Air Kundul,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN044,TJN044MG1,Air Selumar,TJN044,Air Selumar,TJN002,Tanjung Pandan II,TJN044<>TJN002_IPASO200_Telkomsel_50_7603
TJN044,TJN044MG1,Air Selumar,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN044,TJN044MG1,Air Selumar,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN045,TJN045MG1,Gunung Langir,TJN045,Gunung Langir,TJN011,Sijuk,TJN045<>TJN011_IPASO401_TELKOMSEL_100_7128
TJN045,TJN045MG1,Gunung Langir,TJN011,Sijuk,TJN004,Bukit Berahu,TJN011<>TJN004_IPASO402_TELKOMSEL_150_7995.25
TJN045,TJN045MG1,Gunung Langir,TJN004,Bukit Berahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO403_TELKOMSEL_150_7747.7
TJN046,TJN046MG1,Air Malik,TJN046,Air Malik,TJN026,TJN026MG1_TSEL_Mempiu,TJN046<>TJN026_IPASO400_TELKOMSEL_50_14775
TJN046,TJN046MG1,Air Malik,TJN026,Mempiu,TJN002,Tanjung Pandan II,TJN026<>TJN002_IPASO400_TELKOMSEL_50_7296
