Site ID,Site Name,Longitude,Latitude
BKL004,SUPRATMAN,102.275,-3.76053
BKL006,PASAR BARU,102.253,-3.79546
BKL007,BANDARA BENGKULU,102.343,-3.8585
BKL008,LINGKAR TIMUR,102.298,-3.81261
BKL009,BENGKULU CENTRUM 2,102.283,-3.80811
BKL011,LINGKAR BARAT BENGKULU,102.315,-3.84728
BKL012,SURABAYA,102.326,-3.78461
BKL014,PULAU BAAI,102.319,-3.89236
BKL016,AIR SEBAKUL,102.345,-3.83017
BKL017,PINANG MAS,102.291,-3.77669
BKL018,SAWAH LEBAR,102.279,-3.79575
BKL019,TENGAH PADANG,102.261,-3.78757
BKL020,PENURUNAN,102.268,-3.80747
BKL021,BATANGHARI BENGKULU,102.278,-3.81733
BKL022,HIBRIDA UJUNG,102.321,-3.83631
BKL023,TIMUR INDAH,102.307,-3.81985
BKL024,KANDANG BENGKULU,102.313,-3.86961
BKL025,RAWA MAKMUR,102.275,-3.77736
BKL026,TEBENG,102.294,-3.806
BKL027,PERUMNAS POLDA,102.308,-3.832
BKL028,GRAPARI BENGKULU,102.292,-3.81608
BKL029,MASJID AGUNG BENGKULU,102.261,-3.80249
BKL031,SEKIP BENGKULU,102.276,-3.80517
BKL032,BENGKULU INDAH MALL,102.269,-3.81097
BKL033,MEGA MALL BENGKULU,102.267,-3.79405
BKL034,KEBUN TEBENG,102.285,-3.80022
BKL035,DANAU DENDAM,102.312,-3.79272
BKL036,PASAR MINGGU,102.269,-3.79407
BKL037,KEBUN KENANGA,102.27,-3.80239
BKL038,SAWAH LEBAR BARU,102.278,-3.79155
BKL040,PEMATANG GUBERNUR,102.293,-3.75691
BKL041,TUGU HIU,102.31,-3.76719
BKL042,TELUK SEPANG,102.287,-3.933
BKL043,TAMAN REMAJA (NATADIRJA),102.302,-3.82271
BKL046,PADANG DEDO,102.284,-3.81328
BKL047,KALIMANTAN BENGKULU,102.271,-3.76954
BKL048,SERAYU BENGKULU,102.283,-3.82253
BKL049,MUHAJIRIN,102.303,-3.80761
BKL050,KAMPUNG KELAWI,102.267,-3.77988
BKL051,SEMARAK BENGKULU,102.292,-3.76502
BKL052,IRIAN BENGKULU,102.274,-3.78472
BKL053,BHAKTI HUSADA,102.306,-3.83822
BKL054,MERAWAN RAYA,102.285,-3.7925
BKL055,HIBRIDA RAYA,102.316,-3.831
BKL056,GADING SELEBAR,102.312,-3.84392
BKL057,TELAGA DEWA ASRI,102.309,-3.85574
BKL058,DERMAGA NUSANTARA,102.306,-3.90855
BKL059,PADANG KEMILING,102.332,-3.84637
BKL060,TALANG EMPAT,102.332,-3.83934
BKL061,MERAWAN RAYA 2,102.29,-3.79499
BKL062,PULAU BAAI 2,102.321,-3.90675
BKL063,KANDANG BENGKULU 2,102.32,-3.87028
BKL064,IRIAN BENGKULU 2,102.291,-3.78398
BKL065,BUDI UTOMO BKL,102.267,-3.7561
BKL066,ANGGUT ATAS,102.258,-3.79845
BKL067,PANORAMA BKL,102.313,-3.81572
BKL068,TEBENG 2,102.294,-3.80992
BKL069,LINGKAR TIMUR 2,102.301,-3.81627
BKL070,PANTAI PANJANG,102.271,-3.81157
BKL071,SPARMAN BENGKULU,102.268,-3.799
BKL072,BETUNGAN 2,102.356,-3.88102
BKL073,HOTEL SANTIKA BKL,102.274,-3.79787
BKL074,MAHAKAM BENGKULU,102.18,-3.43754
BKL075,JENGGALU BKL,102.295,-3.83401
BKL076,POLDA BKL,102.311,-3.83687
BKL078,A YANI BKL,102.258,-3.79283
BKL079,SEMERU BKL,102.274,-3.80008
BKL080,CILIWUNG BKL,102.288,-3.82901
BKL081,ASAHAN BKL,102.292,-3.82198
BKL082,TIMUR INDAH 2,102.313,-3.821
BKL083,ARIFIN BKL,102.306,-3.81219
BKL087,PONDOK BULAT,102.279,-3.75703
BKL088,GEDANG 3,102.295,-3.81814
BKL089,PEMBANGUNAN BKL,102.289,-3.81745
BKL090,SELEBAR DEWA BKL,102.323,-3.83155
BKL094,NURI BKL,102.263,-3.79505
BKL096,SUPRAPTO BENGKULU,102.264,-3.79141
BKL098,RAFFLESIA GOLF BKL,102.304,-3.84587
BKL100,PURI LESTARI BKL,102.319,-3.88186
BKL101,SUMUR DEWA BKL,102.32,-3.823
BKL102,ASRAMA HAJI BENGKULU,102.338,-3.85364
BKL103,SINGARAN PATI,102.307,-3.82635
BKL107,PENURUNAN 2 BKL,102.266,-3.80444
BKL110,PERUMAHAN BANDARA BKL,102.349,-3.86621
BKL111,MASJID ATTAQWA BKL,102.319,-3.8174
BKL113,SUNGAI SERUT,102.268,-3.78673
BKL115,BUMI AYU 2,102.321,-3.85885
BKL116,BUMI AYU 3,102.331,-3.86883
