BDL061,SAHID LAMPUNG,105.296,-5.44625
BDL062,RATU DIBALAU,105.283,-5.35744
BDL063,SUKADANAHAN 2,105.233,-5.41814
BDL064,TIRTAYASA,105.306,-5.39781
BDL066,SIMPANG GUNUNG BALAU,105.313,-5.44178
BDL067,WAY LAGA,105.326,-5.43214
BDL068,VILLA CITY GARDEN,105.288,-5.43592
BDL069,LEBAK HAUR,105.296,-5.42367
BDL070,GUBERNURAN LAMPUNG,105.258,-5.44167
BDL071,STO LANGKAPURA,105.213,-5.39667
BDL072,TAMAN PANJANG,105.322,-5.47717
BDL073,RADIO OZ LAMPUNG,105.264,-5.4198
BDL074,BUMI WARAS,105.274,-5.44628
BDL077,HOTEL ANUGERAH LAMPUNG INDOOR,105.258,-5.42086
BDL078,NOVOTEL LAMPUNG INDOOR,105.289,-5.4393
BDL079,KI MAJA,105.272,-5.38008
BDL080,GOR SUMPAH PEMUDA,105.281,-5.38309
BDL081,MOROTAI,105.277,-5.40061
BDL082,PANGERAN DIPONEGORO,105.263,-5.4342
BDL083,IMAM BONJOL,105.254,-5.40728
BDL084,GARUDA HITAM,105.261,-5.40168
BDL085,DURIAN PAYUNG,105.247,-5.41917
BDL086,TALANG,105.263,-5.44531
BDL087,AHMAD YANI LAMPUNG,105.255,-5.42197
BDL088,KOTABARU LAMPUNG,105.269,-5.41839
BDL089,TIRTAYASA 2,105.296,-5.39437
BDL090,RAJABASA,105.23,-5.37047
BDL091,GEDONG AIR,105.241,-5.40089
BDL092,LABUHAN RATU 2,105.255,-5.3804
BDL093,PASAR KOGA 2,105.258,-5.39625
BDL094,IKAN TEMBAKANG,105.287,-5.44281
BDL095,TANJUNG JATI,105.25,-5.44936
BDL096,MALL CENTRAL PLAZA INDOOR,105.252,-5.41984
BDL099,HOTEL AMALIA LAMPUNG,105.259,-5.41682
BDL102,RIDWAN RAIS,105.28,-5.42377
BDL103,PADAT KARYA,105.254,-5.3463
BDL104,JALAN BAGAN,105.27,-5.401
BDL105,SETIABUDI,105.244,-5.44222
